2023-2024 대상 386일 중 미완료 386일
=== 2023-11-13 완료 (21타자/8투수, player_code 없음 0명, round=kbo_ps_ks)
=== 2024-03-08 완료 (0타자/0투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-09 완료 (169타자/60투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-10 완료 (177타자/55투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-11 완료 (174타자/56투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-12 완료 (131타자/40투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-14 완료 (177타자/67투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-15 완료 (171타자/63투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-16 완료 (164타자/54투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-17 완료 (135타자/46투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-18 완료 (132타자/42투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-19 완료 (137타자/52투수, player_code 없음 0명, round=kbo_e)
=== 2024-03-23 완료 (115타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2024-03-24 완료 (108타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-03-26 완료 (124타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2024-03-27 완료 (121타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-03-28 완료 (76타자/28투수, player_code 없음 0명, round=kbo_r)
=== 2024-03-29 완료 (116타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2024-03-30 완료 (125타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2024-03-31 완료 (132타자/59투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-02 완료 (123타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-03 완료 (68타자/27투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-04 완료 (122타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-05 완료 (118타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-06 완료 (125타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-07 완료 (123타자/58투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-09 완료 (121타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-10 완료 (115타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-11 완료 (119타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-12 완료 (119타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-13 완료 (132타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-14 완료 (120타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-16 완료 (118타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-17 완료 (124타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-18 완료 (93타자/33투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-19 완료 (120타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-20 완료 (47타자/16투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-21 완료 (210타자/79투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-23 완료 (88타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-24 완료 (116타자/42투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-25 완료 (130타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-26 완료 (120타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-27 완료 (120타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-28 완료 (127타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-04-30 완료 (119타자/42투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-01 완료 (127타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-02 완료 (123타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-03 완료 (118타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-04 완료 (123타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-07 완료 (53타자/19투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-08 완료 (130타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-09 완료 (121타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-10 완료 (125타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-11 완료 (76타자/33투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-12 완료 (186타자/76투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-14 완료 (127타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-15 완료 (49타자/17투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-16 완료 (123타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-17 완료 (129타자/57투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-18 완료 (130타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-19 완료 (133타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-21 완료 (120타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-22 완료 (113타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-23 완료 (129타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-24 완료 (126타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-25 완료 (124타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-26 완료 (68타자/28투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-28 완료 (129타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-29 완료 (131타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-30 완료 (122타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2024-05-31 완료 (120타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-01 완료 (119타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-02 완료 (125타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-04 완료 (125타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-05 완료 (135타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-06 완료 (108타자/42투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-07 완료 (126타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-08 완료 (97타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-09 완료 (154타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-11 완료 (117타자/59투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-12 완료 (120타자/49투수, player_code 없음 0명, round=kbo_r)
시간 예산 소진, 다음 실행에서 이어서 진행
이번 실행 후 남은 미완료: 110일
2023-2024 대상 386일 중 미완료 110일
=== 2024-06-13 완료 (126타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-14 완료 (125타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-15 완료 (129타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-16 완료 (123타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-18 완료 (115타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-19 완료 (132타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-20 완료 (119타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-21 완료 (127타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-22 완료 (52타자/17투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-23 완료 (212타자/87투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-25 완료 (115타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-26 완료 (124타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-27 완료 (124타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-28 완료 (131타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-29 완료 (18타자/3투수, player_code 없음 0명, round=kbo_r)
=== 2024-06-30 완료 (102타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-02 완료 (80타자/29투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-03 완료 (121타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-04 완료 (132타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-06 완료 (29타자/20투수, player_code 없음 0명, round=kbo_as)
=== 2024-07-09 완료 (78타자/27투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-10 완료 (125타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-11 완료 (121타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-12 완료 (124타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-13 완료 (128타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-14 완료 (74타자/30투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-16 완료 (52타자/17투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-17 완료 (125타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-18 완료 (98타자/40투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-19 완료 (127타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-20 완료 (58타자/16투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-21 완료 (120타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-23 완료 (105타자/32투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-24 완료 (89타자/29투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-25 완료 (98타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-26 완료 (90타자/34투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-27 완료 (98타자/34투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-28 완료 (118타자/59투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-30 완료 (119타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2024-07-31 완료 (139타자/57투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-01 완료 (130타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-02 완료 (96타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-03 완료 (103타자/34투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-04 완료 (52타자/24투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-06 완료 (118타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-07 완료 (127타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-08 완료 (97타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-09 완료 (121타자/56투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-10 완료 (103타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-11 완료 (115타자/56투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-13 완료 (93타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-14 완료 (102타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-15 완료 (130타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-16 완료 (107타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-17 완료 (128타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-18 완료 (115타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2024-08-20 완료 (94타자/41투수, player_code 없음 0명, round=kbo_r)
